INFO         | Android emulator version 37.1.11.0 (build_id 15917651) (CL:N/A)
INFO         | Critical: Failed to load opengl32sw (找不到指定的模块。) (:0, )
INFO         | Warning: Software OpenGL failed. Falling back to system OpenGL. (:0, )
INFO         | Storing crashdata in: C:\Users\萧龙\AppData\Local\Temp\\AndroidEmulator\emu-crash-37.1.11.db, detection is enabled for process: 12824
INFO         | Initializing gfxstream backend
INFO         | startOpenglesRendererImpl: gpu info
INFO         | GPU #1
  Make: 10de
  Model: NVIDIA GeForce MX150
  Device ID: 1d12

INFO         | Disabling implicit Vulkan layers to avoid compatibility issues. Set VK_LOADER_LAYERS_DISABLE manually to disable this behavior.
INFO         | initIcdPaths: ICD set to 'swiftshader', using Swiftshader ICD
INFO         | Setting ICD filenames for the loader = C:\Users\萧龙\AppData\Local\Android\Sdk\emulator\lib64\vulkan\vk_swiftshader_icd.json
INFO         | SharedLibrary::open for [C:\Users\萧龙\AppData\Local\Android\Sdk\emulator\qemu\windows-x86_64\lib64\vulkan\vulkan-1.dll]
INFO         | SharedLibrary::open for [C:\Users\萧龙\AppData\Local\Android\Sdk\emulator\lib64\vulkan\vulkan-1.dll]
INFO         | SharedLibrary::open for [vulkan-1.dll]
INFO         | Added library: vulkan-1.dll
INFO         | Selecting Vulkan device: SwiftShader Device (LLVM 10.0.0), Version: 1.2.0
INFO         | Using Vulkan externalMemoryMode: HostAllocation for VkEmulation
INFO         | Initializing VkEmulation features:
INFO         |     glInteropSupported: false
INFO         |     useDeferredCommands: true
INFO         |     createResourceWithRequirements: true
INFO         |     useVulkanComposition: false
INFO         |     useVulkanNativeSwapchain: false
INFO         |     enable guestRenderDoc: false
INFO         |     ASTC LDR emulation mode: Gpu
INFO         |     enable ETC2 emulation: true
INFO         |     enable Ycbcr emulation: false
INFO         |     guestVulkanOnly: false
INFO         |     useDedicatedAllocations: false
INFO         |     guestVulkanMaxApiVersion: 1.3.0
INFO         |     enableProtectedMemoryEmulation: false
INFO         | Graphics Adapter Vendor Google (Google Inc.)
INFO         | Graphics Adapter Android Emulator OpenGL ES Translator (Google SwiftShader)
INFO         | Graphics API Version OpenGL ES 3.0 (OpenGL ES 3.0 SwiftShader 4.0.0.1)
INFO         | Graphics API Extensions GL_OES_EGL_sync GL_OES_EGL_image GL_OES_EGL_image_external GL_OES_depth24 GL_OES_depth32 GL_OES_element_index_uint GL_OES_texture_float GL_OES_texture_float_linear GL_OES_compressed_paletted_texture GL_OES_compressed_ETC1_RGB8_texture GL_OES_depth_texture GL_OES_texture_half_float GL_OES_texture_half_float_linear GL_OES_packed_depth_stencil GL_OES_vertex_half_float GL_OES_standard_derivatives GL_OES_texture_npot GL_OES_rgb8_rgba8 GL_EXT_color_buffer_float GL_EXT_color_buffer_half_float GL_EXT_texture_format_BGRA8888 GL_APPLE_texture_format_BGRA8888 
INFO         | Graphics Device Extensions N/A
INFO         | Disabling sparse binding feature support
INFO         | Could not open C:\Users\萧龙\AppData\Local\Android\Sdk\system-images\android-34\google_apis\x86_64\\VerifiedBootParams.textproto: No such file or directory
INFO         | Sending adb public key [QAAAALuBXb+N5A+oBsAoOZL2xtjzCA4YR0otnx7GAiNmNp7sa3uaP9iHjHwxsLFQKw+FoLpxGL2tjBTFnLyU7mfeJK1/Q+x/DWFQ9Hv1YDhJjCQdm6tG4HkUh68PUpXppsDnwbWp/9OtA8Jigg6gYu9bbdsbnkWkq9YA3wc3JjsbV2XioJ8kUOqg5JllpmBvHXIFyi6zqBVJSjE8XN5gxcMsdJ4R4/HFoB99ELXRKSV3nr2PNFHID8k7+kNjIO0v6a89tisE1UO7VmQHU03RBX5t5O75otA+8z/RIczUG/sSbrPiS5QIb8ej7YqQ7b1WbQ1VOnU/5/GJFqv99XQ9SalqrN2rYqG8UV3oejf5X7FJqw7im++urPa8eaSUZrUs5KwvLadoevOhmOpNtl0EMqkuZBKh0Lq3lcg/6307Jz5PGFyDvm6XWRNEh2u3Rll3FVS2+c/rk1ZvsMW2HQ653tj2gdoyaxV/2kSUa8b5EPp80UoQBByVItEb4Fl1TOeVJ+HLE1jMQqgBZG3XeznGJZtJiD6RFsHjfeNKyqQTWuslNtVV8KH9OWYkRl4w/2uk2KO6wDVHCi/InkSV2yfxOpMba0GEHF41ClbcFpb9fTpUlA+tSvLdbg3btb3gHl3/EMXx9rp8s/xHQauYB8pLa5B+F1PZWYAzy6aSet5D3sfotUYAsHaIYgEAAQA= @unknown]
INFO         | Userspace boot properties:
INFO         |   androidboot.boot_devices=pci0000:00/0000:00:03.0 pci0000:00/0000:00:06.0
INFO         |   androidboot.dalvik.vm.heapsize=576m
INFO         |   androidboot.debug.hwui.renderer=skiagl
INFO         |   androidboot.debug.sf.nobootanimation=1
INFO         |   androidboot.hardware=ranchu
INFO         |   androidboot.hardware.gltransport=pipe
INFO         |   androidboot.hardware.vulkan=ranchu
INFO         |   androidboot.logcat=*:V
INFO         |   androidboot.opengles.version=196608
INFO         |   androidboot.qemu=1
INFO         |   androidboot.qemu.adb.pubkey=QAAAALuBXb+N5A+oBsAoOZL2xtjzCA4YR0otnx7GAiNmNp7sa3uaP9iHjHwxsLFQKw+FoLpxGL2tjBTFnLyU7mfeJK1/Q+x/DWFQ9Hv1YDhJjCQdm6tG4HkUh68PUpXppsDnwbWp/9OtA8Jigg6gYu9bbdsbnkWkq9YA3wc3JjsbV2XioJ8kUOqg5JllpmBvHXIFyi6zqBVJSjE8XN5gxcMsdJ4R4/HFoB99ELXRKSV3nr2PNFHID8k7+kNjIO0v6a89tisE1UO7VmQHU03RBX5t5O75otA+8z/RIczUG/sSbrPiS5QIb8ej7YqQ7b1WbQ1VOnU/5/GJFqv99XQ9SalqrN2rYqG8UV3oejf5X7FJqw7im++urPa8eaSUZrUs5KwvLadoevOhmOpNtl0EMqkuZBKh0Lq3lcg/6307Jz5PGFyDvm6XWRNEh2u3Rll3FVS2+c/rk1ZvsMW2HQ653tj2gdoyaxV/2kSUa8b5EPp80UoQBByVItEb4Fl1TOeVJ+HLE1jMQqgBZG3XeznGJZtJiD6RFsHjfeNKyqQTWuslNtVV8KH9OWYkRl4w/2uk2KO6wDVHCi/InkSV2yfxOpMba0GEHF41ClbcFpb9fTpUlA+tSvLdbg3btb3gHl3/EMXx9rp8s/xHQauYB8pLa5B+F1PZWYAzy6aSet5D3sfotUYAsHaIYgEAAQA= @unknown
INFO         |   androidboot.qemu.avd_name=clawbox_test
INFO         |   androidboot.qemu.camera_hq_edge_processing=0
INFO         |   androidboot.qemu.camera_protocol_ver=1
INFO         |   androidboot.qemu.cpuvulkan.version=4206592
INFO         |   androidboot.qemu.gltransport.drawFlushInterval=800
INFO         |   androidboot.qemu.gltransport.name=pipe
INFO         |   androidboot.qemu.hwcodec.avcdec=2
INFO         |   androidboot.qemu.hwcodec.hevcdec=2
INFO         |   androidboot.qemu.hwcodec.vpxdec=2
INFO         |   androidboot.qemu.settings.system.screen_off_timeout=2147483647
INFO         |   androidboot.qemu.skin=1080x2340
INFO         |   androidboot.qemu.virtiowifi=1
INFO         |   androidboot.qemu.vsync=60
INFO         |   androidboot.serialno=EMULATOR37X1X11X0
INFO         |   androidboot.veritymode=enforcing
